"item","factor1","factor2","R0","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","CompQuestion","CorrectAns"
"18a","mismatch","nocc","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","I was listening to Sally ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ talk about renovations. _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ After ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ each plumber _____ ___ _____ ____ __ ___ _______ __ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ fixed the leaky sink __ ___ _______ __ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ in the morning __ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ it seems she ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ ___ picked out a new ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ ___ ______ ___ _ ___ faucet for the bathroom __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ in the afternoon.","Did Mary wash the dishes?","n"
"18b","mismatch","cc","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","I was listening to Sally ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ talk about renovations. __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ It seems ____ _______ _____ ___ _____ ____ __ ___ _______ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ each plumber _____ ___ _____ ____ __ ___ _______ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ fixed the leaky sink __ ___ _______ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ in the morning _____ ___ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ after she ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ ___ picked out a new ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ ___ ______ ___ _ ___ faucet for the bathroom __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ ___ ______ ___ _ ___ ______ ___ ___ ________ in the afternoon.","Did Mary wash the dishes?","y"
"18c","match","nocc","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","I was listening to Sally ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ talk about renovations. _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ After ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ each plumber _____ ___ _____ ____ __ ___ _______ __ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ fixed the leaky sink __ ___ _______ __ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ in the morning __ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ it seems he ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ __ picked out a new ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ __ ______ ___ _ ___ faucet for the bathroom __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ __ _____ __ ______ ___ _ ___ ______ ___ ___ ________ in the afternoon.","Did Mary wash the dishes?","n"
"18d","match","cc","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","I was listening to Sally ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ talk about renovations. __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ It seems ____ _______ _____ ___ _____ ____ __ ___ _______ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ each plumber _____ ___ _____ ____ __ ___ _______ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ fixed the leaky sink __ ___ _______ _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ in the morning _____ __ ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ after he ______ ___ _ ___ ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ __ picked out a new ______ ___ ___ ________ __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ __ ______ ___ _ ___ faucet for the bathroom __ ___ __________","_ ___ _________ __ _____ ____ _____ ____________ __ _____ ____ _______ _____ ___ _____ ____ __ ___ _______ _____ __ ______ ___ _ ___ ______ ___ ___ ________ in the afternoon.","Did Mary wash the dishes?","y"
"19a","mismatch","nocc","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","Peter and I were talking _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ about the wedding. _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ After ____ __________ ___ ___ ____ ____ __ _____ __ _______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ each bridesmaid ___ ___ ____ ____ __ _____ __ _______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ had her hair ____ __ _____ __ _______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ done up fancy __ _______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ it appears he ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ __ helped the bride ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ __ ______ ___ _____ get to the church _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ __ ______ ___ _____ ___ __ ___ ______ right on time.","Did Mary wash the dishes?","y"
"19b","mismatch","cc","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","Peter and I were talking _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ about the wedding. __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ It appears ____ __________ ___ ___ ____ ____ __ _____ ______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ each bridesmaid ___ ___ ____ ____ __ _____ ______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ had her hair ____ __ _____ ______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ done up fancy ______ __ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ before he ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ __ helped the bride ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ __ ______ ___ _____ get to the church _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ __ ______ ___ _____ ___ __ ___ ______ right on time.","Did Mary wash the dishes?","n"
"19c","match","nocc","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","Peter and I were talking _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ about the wedding. _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ After ____ __________ ___ ___ ____ ____ __ _____ __ _______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ each bridesmaid ___ ___ ____ ____ __ _____ __ _______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ had her hair ____ __ _____ __ _______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ done up fancy __ _______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ it appears she ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ ___ helped the bride ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ ___ ______ ___ _____ get to the church _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ _____ ____ __________ ___ ___ ____ ____ __ _____ __ _______ ___ ______ ___ _____ ___ __ ___ ______ right on time.","Did Mary wash the dishes?","y"
"19d","match","cc","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","Peter and I were talking _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ about the wedding. __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ It appears ____ __________ ___ ___ ____ ____ __ _____ ______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ each bridesmaid ___ ___ ____ ____ __ _____ ______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ had her hair ____ __ _____ ______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ done up fancy ______ ___ ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ before she ______ ___ _____ ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ ___ helped the bride ___ __ ___ ______ _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ ___ ______ ___ _____ get to the church _____ __ _____","_____ ___ _ ____ _______ _____ ___ ________ __ _______ ____ __________ ___ ___ ____ ____ __ _____ ______ ___ ______ ___ _____ ___ __ ___ ______ right on time.","Did Mary wash the dishes?","n"
"20a","mismatch","nocc","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","I was talking __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ to the nurse. ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ When ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ each new father _______ __ ___ ________ __ _ ____ __ _____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ arrived at the ________ __ _ ____ __ _____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ hospital in a rush __ _____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ it seems she ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ ___ was told by ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ ___ ___ ____ __ the doctor that __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ ___ ___ ____ __ ___ ______ ____ everything would be fine.","Did Mary wash the dishes?","n"
"20b","mismatch","cc","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","I was talking __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ to the nurse. __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ It seems ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ each new father _______ __ ___ ________ __ _ ____ ____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ arrived at the ________ __ _ ____ ____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ hospital in a rush ____ ___ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ when she ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ ___ was told by ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ ___ ___ ____ __ the doctor that __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ ___ ___ ____ __ ___ ______ ____ everything would be fine.","Did Mary wash the dishes?","y"
"20c","match","nocc","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","I was talking __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ to the nurse. ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ When ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ each new father _______ __ ___ ________ __ _ ____ __ _____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ arrived at the ________ __ _ ____ __ _____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ hospital in a rush __ _____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ it seems he ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ __ was told by ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ __ ___ ____ __ the doctor that __________ _____ __ _____","_ ___ _______ __ ___ ______ ____ ____ ___ ______ _______ __ ___ ________ __ _ ____ __ _____ __ ___ ____ __ ___ ______ ____ everything would be fine.","Did Mary wash the dishes?","n"
"20d","match","cc","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","I was talking __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ to the nurse. __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ It seems ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ each new father _______ __ ___ ________ __ _ ____ ____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ arrived at the ________ __ _ ____ ____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ hospital in a rush ____ __ ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ when he ___ ____ __ ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ __ was told by ___ ______ ____ __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ __ ___ ____ __ the doctor that __________ _____ __ _____","_ ___ _______ __ ___ ______ __ _____ ____ ___ ______ _______ __ ___ ________ __ _ ____ ____ __ ___ ____ __ ___ ______ ____ everything would be fine.","Did Mary wash the dishes?","y"
